"abi","cab","id","name","street","zip","country:id"
"03002","39157","base.0300239157","UNICREDIT BANCA DI ROMA S.P.A.","VIALE ROMA, 140","00012","base.it"
"03002","39156","base.0300239156","UNICREDIT BANCA DI ROMA S.P.A.","VIA MAREMMANA INFERIORE, 46","00010","base.it"
"03437","39150","base.0343739150","BANCA TRANSILVANIA S.A.","VIA NAZIONALE TIBURTINA 8/8A","00012","base.it"
"05308","39150","base.0530839150","BANCA POPOLARE DI ANCONA SOCIETA' PER AZIONI","VIA TIBURTINA, 122  ANG.  VIA PIEMONTE","00011","base.it"
"05308","39151","base.0530839151","BANCA POPOLARE DI ANCONA SOCIETA' PER AZIONI","VIA ROMA, 26","00012","base.it"
"05308","39152","base.0530839152","BANCA POPOLARE DI ANCONA SOCIETA' PER AZIONI","VIA NOMENTANA, 68","00012","base.it"
"05308","39154","base.0530839154","BANCA POPOLARE DI ANCONA SOCIETA' PER AZIONI","PIAZZA BUOZZI, 10","00014","base.it"
"05308","39153","base.0530839153","BANCA POPOLARE DI ANCONA SOCIETA' PER AZIONI","PIAZZA COLLEVERDE","00131","base.it"
"05308","39155","base.0530839155","BANCA POPOLARE DI ANCONA SOCIETA' PER AZIONI","S.S. TIBURTINA, KM. 18,300","00010","base.it"
"03127","39150","base.0312739150","UNIPOL BANCA SPA","VIA U. MADDALENA, 9/A","00012","base.it"
"03231","39150","base.0323139150","BANCO DESIO LAZIO S.P.A.","VIA MAREMMANA INFERIORE, 218","00012","base.it"
"08951","39160","base.0895139160","BANCA DI CREDITO COOPERATIVO DEI COLLI ALBANI - SOCIETA' COOPERATIVA","CORSO ANTONIO GRAMSCI, 157","00040","base.it"
